Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-04-20,56841.0301510772,56268.5818970011,57105.9747534665,53442.8516601945
BTC,2021-04-21,54871.6365698964,56800.7735762654,57121.9439016309,54367.6517867463
BTC,2021-04-22,52107.0232149939,55011.8726605418,55471.076371955,51827.9157752954
BTC,2021-04-23,51178.5321094554,51579.879997274,52217.1926008324,47467.9120320183
BTC,2021-04-24,50858.8449117906,50631.3121681042,51253.4429476246,48932.1588139391
BTC,2021-04-25,49469.6493275685,51046.3213706446,51112.2923512751,49245.5074539076
BTC,2021-04-26,53632.4134459527,48186.5381115808,54398.5927883666,47105.5930680066
BTC,2021-04-27,55084.9072645002,53282.4478984499,55351.2748799926,52685.8902327102
BTC,2021-04-28,54575.4230466382,55203.3721438034,56458.6358118116,53915.3548335028
BTC,2021-04-29,52861.4583020707,54465.446655166,55224.9079561952,52403.7436077167
BTC,2021-04-30,56864.4796779528,53027.0260194571,57432.5105042194,52867.352853768
BTC,2021-05-01,57856.1749985387,56812.4897786194,58511.2560485114,56719.316722878
BTC,2021-05-02,56800.5271799154,57717.4259966959,57950.0741368012,56123.0395077865
BTC,2021-05-03,56976.896328053,57055.3190222184,59001.3596421217,56307.7834330741
BTC,2021-05-04,54334.1956841115,56832.2093563995,57512.629636208,53613.5952176663
BTC,2021-05-05,56758.5839997572,54792.9747965628,57977.6134230368,52987.1586596765
BTC,2021-05-06,55953.1993686438,56866.8280049023,58368.6820919958,55330.7278628212
BTC,2021-05-07,57679.8743557238,55976.5027234,58724.1107779691,55320.9581179986
BTC,2021-05-08,59132.8463867093,57706.0875175503,59575.4631145794,57028.4980485871
BTC,2021-05-09,57919.6912133418,59032.0007618933,59249.141676133,56494.9153343839
BTC,2021-05-10,55371.480321174,57982.3888213044,59560.0254591057,53774.6282425192
BTC,2021-05-11,56839.5125639884,55379.6177691783,56947.7454639364,54571.6932097661
BTC,2021-05-12,54634.4923490255,56918.8964571873,58036.5097771205,53582.4802079939
BTC,2021-05-13,49277.6174060546,54527.0476949752,54836.647069099,46294.7201795113
BTC,2021-05-14,49619.1750024725,49339.0647533696,51578.3125446899,48478.8162767508
BTC,2021-05-15,48414.9775794246,49212.6173287855,50690.8029495356,47005.1022924768
BTC,2021-05-16,44359.1265933474,48267.1664595161,49670.4141738148,44006.126432644
BTC,2021-05-17,44626.8809931453,44023.9922113935,46622.8534374849,42102.3464296188
BTC,2021-05-18,43359.7423046014,44845.8360961807,45850.2316654333,42469.9755696815
BTC,2021-05-19,40154.5359887551,43333.8856508644,43604.5695856053,38609.5023851269
